AP3B1_HUMAN,9606.ENSP00000255194
BRD4_HUMAN,9606.ENSP00000263377
ETFA_HUMAN,9606.ENSP00000452762
GOGB1_HUMAN,9606.ENSP00000377275
GRAP1_HUMAN,9606.ENSP00000365606
CE350_HUMAN,9606.ENSP00000356579
MYOME_HUMAN,9606.ENSP00000358363
CP135_HUMAN,9606.ENSP00000257287
CEP68_HUMAN,9606.ENSP00000367229
CNTRL_HUMAN,9606.ENSP00000362962
RB6I2_HUMAN,9606.ENSP00000468263
GCC2_HUMAN,9606.ENSP00000307939
CLIP4_HUMAN,9606.ENSP00000327009
STOM_HUMAN,9606.ENSP00000286713
NIN_HUMAN,9606.ENSP00000371472
CE112_HUMAN,9606.ENSP00000376522
MIPO1_HUMAN,9606.ENSP00000333539
UBP13_HUMAN,9606.ENSP00000263966
GCC1_HUMAN,9606.ENSP00000318821
JKIP1_HUMAN,9606.ENSP00000386711
CK5P2_HUMAN,9606.ENSP00000343818
AKAP9_HUMAN,9606.ENSP00000348573
GORS1_HUMAN,9606.ENSP00000313869
FYCO1_HUMAN,9606.ENSP00000296137
VKGC_HUMAN,9606.ENSP00000233838
CA050_HUMAN,9606.ENSP00000361603
CP250_HUMAN,9606.ENSP00000380661
TBK1_HUMAN,9606.ENSP00000329967
HOOK1_HUMAN,9606.ENSP00000360252
NINL_HUMAN,9606.ENSP00000278886
AGAL_HUMAN,9606.ENSP00000218516
IMDH2_HUMAN,9606.ENSP00000321584
SIR5_HUMAN,9606.ENSP00000476228
NTF2_HUMAN,9606.ENSP00000219169
ARF6_HUMAN,9606.ENSP00000298316
VATA_HUMAN,9606.ENSP00000273398
RNF41_HUMAN,9606.ENSP00000342755
S27A2_HUMAN,9606.ENSP00000267842
IF4E2_HUMAN,9606.ENSP00000258416
NCPR_HUMAN,9606.ENSP00000419970
GDS1_HUMAN,9606.ENSP00000340454
WASC4_HUMAN,9606.ENSP00000484713
FKB15_HUMAN,9606.ENSP00000238256
GGYF2_HUMAN,9606.ENSP00000387170
IDE_HUMAN,9606.ENSP00000265986
TIM10_HUMAN,9606.ENSP00000257245
PSMD8_HUMAN,9606.ENSP00000215071
ALG11_HUMAN,9606.ENSP00000430236
PO210_HUMAN,9606.ENSP00000254508
TIM29_HUMAN,9606.ENSP00000270502
DJC11_HUMAN,9606.ENSP00000366800
T10B_HUMAN,9606.ENSP00000254616
TIM9_HUMAN,9606.ENSP00000378588
HDAC2_HUMAN,9606.ENSP00000430432
GPX1_HUMAN,9606.ENSP00000407375
TRM1_HUMAN,9606.ENSP00000466967
ATP5L_HUMAN,9606.ENSP00000300688
REEP5_HUMAN,9606.ENSP00000368959
VAS1_HUMAN,9606.ENSP00000358777
SGMR1_HUMAN,9606.ENSP00000277010
AT133_HUMAN,9606.ENSP00000416508
ADAS_HUMAN,9606.ENSP00000264167
CYB5B_HUMAN,9606.ENSP00000308430
ACSL3_HUMAN,9606.ENSP00000350012
NB5R3_HUMAN,9606.ENSP00000354468
RALA_HUMAN,9606.ENSP00000005257
COMT_HUMAN,9606.ENSP00000354511
RAB5C_HUMAN,9606.ENSP00000447053
MPPA_HUMAN,9606.ENSP00000360782
RAB7A_HUMAN,9606.ENSP00000265062
RAB8A_HUMAN,9606.ENSP00000300935
RAB2A_HUMAN,9606.ENSP00000262646
RAB10_HUMAN,9606.ENSP00000264710
RAB14_HUMAN,9606.ENSP00000362946
RHOA_HUMAN,9606.ENSP00000400175
RAB1A_HUMAN,9606.ENSP00000387286
GBB1_HUMAN,9606.ENSP00000481878
GBG5_HUMAN,9606.ENSP00000359675
LMAN2_HUMAN,9606.ENSP00000303366
ANO6_HUMAN,9606.ENSP00000409126
MOGS_HUMAN,9606.ENSP00000233616
TOIP1_HUMAN,9606.ENSP00000435365
MARC1_HUMAN,9606.ENSP00000355877
QSOX2_HUMAN,9606.ENSP00000351536
HS2ST_HUMAN,9606.ENSP00000359581
NDUF2_HUMAN,9606.ENSP00000296597
SCPDL_HUMAN,9606.ENSP00000355467
SCRB1_HUMAN,9606.ENSP00000261693
NAT14_HUMAN,9606.ENSP00000205194
DCAKD_HUMAN,9606.ENSP00000308515
PREP_HUMAN,9606.ENSP00000370377
F162A_HUMAN,9606.ENSP00000419088
TIM14_HUMAN,9606.ENSP00000372005
SELS_HUMAN,9606.ENSP00000381282
PGES2_HUMAN,9606.ENSP00000345341
MPP10_HUMAN,9606.ENSP00000244230
SRP72_HUMAN,9606.ENSP00000342181
ATE1_HUMAN,9606.ENSP00000224652
NSD2_HUMAN,9606.ENSP00000372351
SRP19_HUMAN,9606.ENSP00000424870
ZNT9_HUMAN,9606.ENSP00000264451
SRP54_HUMAN,9606.ENSP00000451818
RT25_HUMAN,9606.ENSP00000253686
DDX10_HUMAN,9606.ENSP00000314348
LARP7_HUMAN,9606.ENSP00000422626
MEPCE_HUMAN,9606.ENSP00000308546
NGDN_HUMAN,9606.ENSP00000386134
EXOS8_HUMAN,9606.ENSP00000374354
SYNM_HUMAN,9606.ENSP00000281038
NOL10_HUMAN,9606.ENSP00000371101
CCD86_HUMAN,9606.ENSP00000227520
BRD2_HUMAN,9606.ENSP00000378704
FAKD5_HUMAN,9606.ENSP00000369618
SPCS_HUMAN,9606.ENSP00000371535
EXOS5_HUMAN,9606.ENSP00000221233
EXOS3_HUMAN,9606.ENSP00000323046
AATF_HUMAN,9606.ENSP00000477848
HECD1_HUMAN,9606.ENSP00000382269
RT02_HUMAN,9606.ENSP00000360850
RT05_HUMAN,9606.ENSP00000272418
EXOS2_HUMAN,9606.ENSP00000361433
RT27_HUMAN,9606.ENSP00000426941
T2FB_HUMAN,9606.ENSP00000340823
ZNT7_HUMAN,9606.ENSP00000359130
FBN1_HUMAN,9606.ENSP00000325527
FBN2_HUMAN,9606.ENSP00000424571
NU214_HUMAN,9606.ENSP00000352400
NUP62_HUMAN,9606.ENSP00000471191
DCAF7_HUMAN,9606.ENSP00000483236
IF4H_HUMAN,9606.ENSP00000265753
NUP54_HUMAN,9606.ENSP00000264883
MIB1_HUMAN,9606.ENSP00000261537
SPART_HUMAN,9606.ENSP00000414147
NEK9_HUMAN,9606.ENSP00000238616
GCP3_HUMAN,9606.ENSP00000261965
ZN503_HUMAN,9606.ENSP00000361602
NUP88_HUMAN,9606.ENSP00000458954
NUP58_HUMAN,9606.ENSP00000371155
MAT2B_HUMAN,9606.ENSP00000325425
FBLN5_HUMAN,9606.ENSP00000345008
PPT1_HUMAN,9606.ENSP00000394863
CUL2_HUMAN,9606.ENSP00000444856
MA7D1_HUMAN,9606.ENSP00000362244
THTPA_HUMAN,9606.ENSP00000288014
ZY11B_HUMAN,9606.ENSP00000294353
COQ8B_HUMAN,9606.ENSP00000315118
TIM8B_HUMAN,9606.ENSP00000438455
RBX1_HUMAN,9606.ENSP00000216225
ELOC_HUMAN,9606.ENSP00000478121
ELOB_HUMAN,9606.ENSP00000262306
HMOX1_HUMAN,9606.ENSP00000216117
TRI59_HUMAN,9606.ENSP00000311219
AR6P6_HUMAN,9606.ENSP00000315357
VPS39_HUMAN,9606.ENSP00000335193
CLCC1_HUMAN,9606.ENSP00000349456
VPS11_HUMAN,9606.ENSP00000481126
SAAL1_HUMAN,9606.ENSP00000432487
SUN2_HUMAN,9606.ENSP00000385616
ALG5_HUMAN,9606.ENSP00000239891
STML2_HUMAN,9606.ENSP00000348886
NUP98_HUMAN,9606.ENSP00000316032
RAE1L_HUMAN,9606.ENSP00000379182
MTCH1_HUMAN,9606.ENSP00000362730
HEAT3_HUMAN,9606.ENSP00000299192
MDN1_HUMAN,9606.ENSP00000358400
PLOD2_HUMAN,9606.ENSP00000282903
TOR1A_HUMAN,9606.ENSP00000345719
STC2_HUMAN,9606.ENSP00000265087
TPA_HUMAN,9606.ENSP00000220809
ITB1_HUMAN,9606.ENSP00000379350
CISD3_HUMAN,9606.ENSP00000483781
CO6A1_HUMAN,9606.ENSP00000355180
PVR_HUMAN,9606.ENSP00000402060
DNMT1_HUMAN,9606.ENSP00000352516
LYOX_HUMAN,9606.ENSP00000231004
PCSK6_HUMAN,9606.ENSP00000482760
INHBE_HUMAN,9606.ENSP00000266646
INT4_HUMAN,9606.ENSP00000434466
NPC2_HUMAN,9606.ENSP00000451112
MFGM_HUMAN,9606.ENSP00000268150
OS9_HUMAN,9606.ENSP00000318165
NPTX1_HUMAN,9606.ENSP00000307549
ERO1B_HUMAN,9606.ENSP00000346635
PLD3_HUMAN,9606.ENSP00000387050
FXRD2_HUMAN,9606.ENSP00000380401
CHSS2_HUMAN,9606.ENSP00000243776
ODC_HUMAN,9606.ENSP00000329452
PUSL1_HUMAN,9606.ENSP00000368318
EMC1_HUMAN,9606.ENSP00000420608
GGH_HUMAN,9606.ENSP00000260118
ERLEC_HUMAN,9606.ENSP00000185150
I17RA_HUMAN,9606.ENSP00000320936
NGLY1_HUMAN,9606.ENSP00000280700
H6ST2_HUMAN,9606.ENSP00000429473
SDF2_HUMAN,9606.ENSP00000247020
NEUR1_HUMAN,9606.ENSP00000364782
GDF15_HUMAN,9606.ENSP00000252809
GCP2_HUMAN,9606.ENSP00000446093
TM2D3_HUMAN,9606.ENSP00000330433
ERP44_HUMAN,9606.ENSP00000262455
EDEM3_HUMAN,9606.ENSP00000318147
SIL1_HUMAN,9606.ENSP00000378294
OFUT1_HUMAN,9606.ENSP00000364902
SMOC1_HUMAN,9606.ENSP00000355110
PKHF2_HUMAN,9606.ENSP00000322373
FXL12_HUMAN,9606.ENSP00000247977
UGGG2_HUMAN,9606.ENSP00000365938
CHPF2_HUMAN,9606.ENSP00000035307
SYTM_HUMAN,9606.ENSP00000358060
ATS1_HUMAN,9606.ENSP00000284984
HYOU1_HUMAN,9606.ENSP00000480150
ADAM9_HUMAN,9606.ENSP00000419446
FKB10_HUMAN,9606.ENSP00000317232
NHRF1_HUMAN,9606.ENSP00000262613
CHM2A_HUMAN,9606.ENSP00000469240
CSDE1_HUMAN,9606.ENSP00000481762
TOM70_HUMAN,9606.ENSP00000284320
MARK3_HUMAN,9606.ENSP00000411397
CWC27_HUMAN,9606.ENSP00000370460
RTN4_HUMAN,9606.ENSP00000337838
MARK2_HUMAN,9606.ENSP00000385751
DPH5_HUMAN,9606.ENSP00000359127
DCTP1_HUMAN,9606.ENSP00000322524
MARK1_HUMAN,9606.ENSP00000483424
PTBP2_HUMAN,9606.ENSP00000359216
BAG5_HUMAN,9606.ENSP00000338814
UBXN8_HUMAN,9606.ENSP00000479216
GPAA1_HUMAN,9606.ENSP00000347206
WFS1_HUMAN,9606.ENSP00000226760
MRP1_HUMAN,9606.ENSP00000382342
FA8A1_HUMAN,9606.ENSP00000259963
PAR2_HUMAN,9606.ENSP00000296677
SCAP_HUMAN,9606.ENSP00000265565
D19L1_HUMAN,9606.ENSP00000308695
SGMR2_HUMAN,9606.ENSP00000226230
ZNT6_HUMAN,9606.ENSP00000368648
TAPT1_HUMAN,9606.ENSP00000385347
ERMP1_HUMAN,9606.ENSP00000340427
NLRX1_HUMAN,9606.ENSP00000387334
RETR3_HUMAN,9606.ENSP00000309432
PIGO_HUMAN,9606.ENSP00000367880
AASS_HUMAN,9606.ENSP00000377040
FACR2_HUMAN,9606.ENSP00000443291
ECSIT_HUMAN,9606.ENSP00000270517
ALG8_HUMAN,9606.ENSP00000299626
TM39B_HUMAN,9606.ENSP00000338165
GHITM_HUMAN,9606.ENSP00000361207
ACAD9_HUMAN,9606.ENSP00000312618
NFIP2_HUMAN,9606.ENSP00000480798
BCS1_HUMAN,9606.ENSP00000413908
CIA30_HUMAN,9606.ENSP00000260361
TMED5_HUMAN,9606.ENSP00000359305
AKP8L_HUMAN,9606.ENSP00000380557
NDUB9_HUMAN,9606.ENSP00000276689
PIGS_HUMAN,9606.ENSP00000309430
AAR2_HUMAN,9606.ENSP00000363043
BZW2_HUMAN,9606.ENSP00000397249
U3IP2_HUMAN,9606.ENSP00000232888
PABP1_HUMAN,9606.ENSP00000313007
CSK22_HUMAN,9606.ENSP00000262506
CSK2B_HUMAN,9606.ENSP00000365042
ZCH18_HUMAN,9606.ENSP00000416951
G3BP1_HUMAN,9606.ENSP00000377681
PABP4_HUMAN,9606.ENSP00000361949
LARP1_HUMAN,9606.ENSP00000336721
FA98A_HUMAN,9606.ENSP00000238823
SNIP1_HUMAN,9606.ENSP00000296215
RENT1_HUMAN,9606.ENSP00000470142
MOV10_HUMAN,9606.ENSP00000399797
G3BP2_HUMAN,9606.ENSP00000352738
DDX21_HUMAN,9606.ENSP00000346120
RBM28_HUMAN,9606.ENSP00000223073
CTL2_HUMAN,9606.ENSP00000336888
RL36_HUMAN,9606.ENSP00000464342
GOGA7_HUMAN,9606.ENSP00000350378
ZDHC5_HUMAN,9606.ENSP00000287169
DPOLA_HUMAN,9606.ENSP00000368349
PRI1_HUMAN,9606.ENSP00000350491
PRI2_HUMAN,9606.ENSP00000484105
DPOA2_HUMAN,9606.ENSP00000265465
GT251_HUMAN,9606.ENSP00000252599
PKP2_HUMAN,9606.ENSP00000070846
AP2A2_HUMAN,9606.ENSP00000327694
MPPB_HUMAN,9606.ENSP00000249269
ALR_HUMAN,9606.ENSP00000248114
ERGI1_HUMAN,9606.ENSP00000377374
AP2M1_HUMAN,9606.ENSP00000292807
GRPE1_HUMAN,9606.ENSP00000264954
TBCA_HUMAN,9606.ENSP00000306362
SBNO1_HUMAN,9606.ENSP00000387361
BCKD_HUMAN,9606.ENSP00000378405
AKAP8_HUMAN,9606.ENSP00000269701
MYCB2_HUMAN,9606.ENSP00000444596
SLU7_HUMAN,9606.ENSP00000297151
YIF1A_HUMAN,9606.ENSP00000366098
RIPK1_HUMAN,9606.ENSP00000259808
UBP2L_HUMAN,9606.ENSP00000389445
TYSD1_HUMAN,9606.ENSP00000287078
PDZ11_HUMAN,9606.ENSP00000239666
PRC2B_HUMAN,9606.ENSP00000349856
UBAP2_HUMAN,9606.ENSP00000368540
ZN318_HUMAN,9606.ENSP00000354964
CRTC3_HUMAN,9606.ENSP00000268184
UBP54_HUMAN,9606.ENSP00000345216
Z3H7A_HUMAN,9606.ENSP00000379773
AT1B1_HUMAN,9606.ENSP00000356790
LAR4B_HUMAN,9606.ENSP00000482767
RBM41_HUMAN,9606.ENSP00000361557
HTF4_HUMAN,9606.ENSP00000388940
PKHA5_HUMAN,9606.ENSP00000404296
TBKB1_HUMAN,9606.ENSP00000354777
CTRO_HUMAN,9606.ENSP00000376306
HSBP1_HUMAN,9606.ENSP00000392896
PCNT_HUMAN,9606.ENSP00000352572
FR1OP_HUMAN,9606.ENSP00000355812
ACADM_HUMAN,9606.ENSP00000359871
KAP2_HUMAN,9606.ENSP00000265563
KAPCA_HUMAN,9606.ENSP00000309591
KAP3_HUMAN,9606.ENSP00000265717
RADI_HUMAN,9606.ENSP00000384136
CENPF_HUMAN,9606.ENSP00000355922
TLE1_HUMAN,9606.ENSP00000365682
TLE3_HUMAN,9606.ENSP00000452871
GOGA3_HUMAN,9606.ENSP00000204726
GOGA2_HUMAN,9606.ENSP00000416097
